;RMS;M;ADIm1;ADIm2;ADIm3;ADIm4;ADIm5;ADIm6;ADIm7;ADIm8;ADIm9;ADIm10;ADIm11;
26;-1.054574178;-1.2085650270000001;-0.319405591;-0.424419719;-0.22938395600000003;0.42886509700000003;-0.49007870600000003;-0.8611691640000001;-0.835883857;-0.522413841;0.146624629;0.028499056000000002;0.429784625;1
10;0.08650412199999999;0.16076415;1.287529653;1.458507674;1.7082644519999999;1.7373027490000001;1.454654867;1.685926169;1.198936477;1.009485194;0.622866054;0.391809069;0.18010529600000003;2
11;-0.9229714659999999;-0.993167921;-1.10187603;-0.932714037;-0.973339356;-1.205753535;-0.915257724;-0.66979759;-1.050948601;-1.003364957;-0.567307032;-0.50628744;-0.37720214399999996;2
21;0.079846809;0.153009772;0.9862225490000001;0.638104751;0.324303721;1.212977673;-0.018508783;-0.406158339;0.919169809;0.29106098399999997;0.399475769;0.46170829700000005;0.609240468;1
44;-0.763141774;-0.991416842;-1.728020811;-1.267533204;-1.312166553;-1.363899306;-0.637526636;-1.027801767;-0.054326016;-0.158473473;-0.624076615;-0.587237452;-0.29615521899999997;2
5;0.09099733199999999;0.165123739;1.033777922;0.62781765;0.7088679729999999;0.9639872290000001;-0.570432089;-0.6886823870000001;-0.226930379;0.22163720000000003;-0.154145444;0.24406924800000002;0.37543717;1
4;0.08317348299999999;0.145432414;0.225508963;-0.8570305840000001;-0.9137197909999999;0.131136623;-0.7255018679999999;-0.514248235;-0.349673186;-1.01266271;-2.140702952;-2.623220389;-3.301840245;1
38;0.08404805900000001;0.158263319;1.294199582;1.365673385;1.622505078;1.755307135;1.446623332;1.6440003;1.4956722630000001;1.0417236859999999;0.385273084;0.241502357;0.19068195300000002;2
10;0.068718052;0.135924307;-0.397392081;-1.031961151;-0.153897081;0.141923944;-0.09817292;0.027253499;0.300797822;0.37380482600000003;-0.9805031190000001;-0.9644059559999999;-0.7646438;1
63;-0.8492548329999999;-0.8901110990000001;-0.113791962;0.696699691;1.330175595;0.55119769;1.259601198;1.0531155559999998;0.915666889;1.1958235590000001;1.10706505;0.95634344;0.80150649;3
57;0.452139402;0.535551136;0.25977125;-0.209464127;0.553605938;-0.053446825;0.46669286;1.000748395;0.385696359;0.25629139300000003;0.333589821;0.20943043;0.29359899899999997;3
15;0.084514785;0.158664541;1.255127339;1.338850758;1.651653511;1.8384779830000002;1.76996833;1.724213095;1.669531759;1.780583401;1.2446638890000001;0.8648448559999999;0.839562017;3
27;-0.947607537;-1.178800905;-0.530661599;-0.442279673;-0.11992675300000001;0.251050069;-0.19046805;-0.529680109;-0.9862815620000001;-0.336021854;0.331741552;0.187828987;0.378941466;1
59;0.08546618;0.15974573;1.2655991659999999;1.3913444080000001;1.795126402;1.920778911;1.9773868490000002;1.805822632;1.583318936;1.7201863030000002;1.292990795;1.075191374;0.996886872;3
24;-1.172068029;-1.231346413;-0.41549897399999997;-0.528098325;-0.319651611;0.629820739;-0.400841936;-0.295586328;-0.298862914;0.279929195;0.281425611;0.266629758;0.546506038;1
2;0.07068416400000001;0.138736066;-0.204276498;-1.1147776870000001;-0.406118652;-0.11691960300000001;-0.77556961;-0.753092723;-0.081520195;-0.047442150999999995;-0.668618184;-1.066334195;-1.3829996430000002;1
25;-1.141932472;-1.221148477;-0.426689527;-0.461117216;-0.579265161;0.270686893;-0.70467633;-0.798898595;-0.42832073200000004;-0.182561075;-0.11937576300000001;-0.010168513;0.310122034;1
39;-0.8337010029999999;-0.99310433;-1.025872403;-1.3425366330000001;-0.701073142;-0.62187626;-0.967564037;-0.233725884;-0.967355328;-0.23442849699999999;-0.310807545;-0.235203542;-0.05242556;2
7;-1.162809267;-1.230742598;-0.481548895;-0.48584958;-0.43719234;0.114115978;-0.77417708;-1.367703306;-0.7770090820000001;-0.805050077;-0.044871050999999995;0.152162831;0.26431715899999997;1
52;-0.94446379;-1.03312062;-0.27698285100000003;-0.9703883059999999;-0.8156206640000001;-1.50879384;-0.9600969540000001;-0.27894351100000003;-0.470813446;0.004103698;-0.340909939;-0.297489162;0.09127224099999999;2
2;0.07741835799999999;0.142089174;0.175422308;-0.42935696100000004;-0.596137143;0.282600545;-0.41681994299999997;-0.122727689;-0.193826556;-0.809834961;-2.247024834;-2.7293781960000003;-2.948248672;1
33;-1.127000987;-1.215312036;-0.037873563;-0.562175674;-0.8470366429999999;-0.242125185;-1.213146434;-2.185331135;-1.757604094;-1.07386601;-0.8201677059999999;-0.591433485;-0.536829724;1
65;0.078229315;0.151495312;1.035268356;0.818492707;0.761922832;0.711030598;0.308770327;0.224557443;0.8063795420000001;0.653018652;0.740708748;0.7185147479999999;0.759500988;3
50;-0.99739022;-1.044367368;-0.25740377600000003;-0.641117242;-0.327644428;-0.6316913160000001;-0.946657765;0.004275653;-0.19246638800000002;-0.086953388;-0.768136523;-0.682079214;-0.197684867;2
6;0.085987965;0.151495311;-0.616998623;-1.272875356;-1.098152942;0.252646405;-0.167641881;-0.062751901;-0.101028867;-0.908189262;-2.261685276;-2.885601465;-3.1934738780000003;1
48;-1.019851319;-1.0547168740000001;-0.449691954;-0.7478200970000001;-0.477771082;-0.763911725;-0.7215417709999999;-0.231125737;-0.187669935;0.07131942;-0.324976385;-0.369714045;-0.021905587;2
49;-1.021149568;-1.06037349;-0.359249971;-0.58641394;-0.574053245;-0.611888122;-0.924519145;-0.32055631;-0.50507209;-0.252384891;-0.524798866;-0.424018326;-0.09788446199999999;2
37;0.085567775;0.159892869;1.302214989;1.364631935;1.485582903;1.670552813;1.375458835;1.598300127;1.573589684;1.1076430659999998;0.357598597;0.239382497;0.103043273;2
60;-0.919401809;-0.9502995000000001;0.198061398;1.0905319759999998;1.591912741;1.419771212;1.6852636140000001;1.31493522;1.427681665;1.6889712730000002;1.432602503;1.113826339;0.896996784;3
19;-1.094796451;-1.190877641;-1.543898323;-2.754580523;-1.24670348;-0.971300759;-0.472069864;-0.012476197;0.167750694;-0.348151486;-0.931505048;-1.24850931;-0.85369462;1
51;-1.0105917759999998;-1.0544301870000001;-0.475581808;-0.928587107;-0.649071957;-0.510664725;-1.1556916879999999;-0.136370929;0.13459405;3.63e-05;-0.438832638;-0.356669814;-0.026622818;2
20;-1.075959248;-1.148089415;-1.29033459;-0.4561949702537312;-1.6584064790000002;-0.478718335;-0.40549101600000004;-0.294614211;-0.097444049;-0.581121552;-1.390411525;-1.808725387;-1.013263883;1
30;-1.0802248559999998;-1.225119853;-1.630184268;0.189721362;1.016600571;1.684334148;1.5619663719999999;1.075468504;1.075964945;1.297676939;0.998066969;0.832450895;0.730906852;1
62;-0.868938978;-0.903555324;0.12718263800000001;0.798898755;1.262248758;0.584137343;1.136266708;0.818111872;0.876253136;1.17246319;0.7751725420000001;0.335496805;0.436208815;3
43;-0.711425353;-0.9343438340000001;-1.0091012990000001;-1.408925905;-1.18965624;-1.2887775959999999;-0.8448173609999999;-0.527876189;-0.37164077799999995;0.015925782;-0.165041375;-0.339435971;-0.44603502100000003;2
1;0.078267607;0.147016056;-0.099193434;-0.9932849579999999;-0.36166605;0.204833342;-0.837582409;-0.641987684;-0.254815942;-0.379259574;-1.062085395;-1.581943415;-1.785023628;1
12;0.09215310199999999;0.166345388;1.123550977;0.722292268;0.22644862899999998;0.440220667;-0.36998573100000004;-0.9319166590000001;-0.109839934;-0.160054501;-0.307964711;0.320517371;0.23907290899999997;1
